id,exp_years,diplomes,certifications,hard_skills,soft_skills,langues,localisation,mobilite,disponibilite,full_text
15,10,Diplôme d’ingénieur Logiciel,Scrum Master,"['Numpy', 'TensorFlow', 'AWS', 'Node.js', 'Spring Boot']","['Gestion du temps', 'Leadership', 'Esprit critique']","['Allemand', 'Espagnol']","Abidjan, Côte d’Ivoire",Mobile,Immédiate,"Expériences: Ingénieur Logiciel à HealthAI (2019-2019). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: Scrum Master. Compétences techniques: Numpy, TensorFlow, AWS, Node.js, Spring Boot. Compétences comportementales: Gestion du temps, Leadership, Esprit critique. Langues: Allemand, Espagnol. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Mobile. Disponibilité: Immédiate."
16,1,Diplôme d’ingénieur Logiciel,Scrum Master,"['Node.js', 'PyTorch', 'Spark', 'Kubernetes', 'React']","['Travail en équipe', 'Résolution de problèmes', 'Communication']","['Allemand', 'Français']","Casablanca, Maroc",Pas mobile,Immédiate,"Expériences: Ingénieur Logiciel à StartDev (2018-2018). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: Scrum Master. Compétences techniques: Node.js, PyTorch, Spark, Kubernetes, React. Compétences comportementales: Travail en équipe, Résolution de problèmes, Communication. Langues: Allemand, Français. Localisation: Casablanca, Maroc. Mobilité: Pas mobile. Disponibilité: Immédiate."
17,2,Licence Informatique,Google Data Engineer,"['PyTorch', 'JavaScript', 'Scikit-learn', 'Flask', 'GCP']","['Créativité', 'Résolution de problèmes', 'Adaptabilité']","['Allemand', 'Français']","Abidjan, Côte d’Ivoire",Mobile,Dans 3 mois,"Expériences: Data Scientist à CloudOps (2015-2020). Diplômes: Licence Informatique. Certifications: Google Data Engineer. Compétences techniques: PyTorch, JavaScript, Scikit-learn, Flask, GCP. Compétences comportementales: Créativité, Résolution de problèmes, Adaptabilité. Langues: Allemand, Français. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Mobile. Disponibilité: Dans 3 mois."
18,4,MBA Management Digital,AWS Certified Solutions Architect,"['Scikit-learn', 'Pandas', 'Numpy', 'Kubernetes', 'Vue.js']","['Gestion du temps', 'Travail en équipe', 'Esprit critique']","['Allemand', 'Français']","Casablanca, Maroc",Mobile,Immédiate,"Expériences: Data Scientist chez StartDev (2016-2021). Diplômes: MBA Management Digital. Certifications: AWS Certified Solutions Architect. Compétences techniques: Scikit-learn, Pandas, Numpy, Kubernetes, Vue.js. Compétences comportementales: Gestion du temps, Travail en équipe, Esprit critique. Langues: Allemand, Français. Localisation: Casablanca, Maroc. Mobilité: Mobile. Disponibilité: Immédiate."
19,7,PhD en Intelligence Artificielle,Scrum Master,"['Hadoop', 'JavaScript', 'Numpy', 'Spring Boot', 'GCP']","['Adaptabilité', 'Esprit critique', 'Communication']","['Allemand', 'Anglais']","Dakar, Sénégal",Pas mobile,Dans 3 mois,"Expériences: Ingénieur Logiciel à CloudOps (2015-2021). Diplômes: PhD en Intelligence Artificielle. Certifications: Scrum Master. Compétences techniques: Hadoop, JavaScript, Numpy, Spring Boot, GCP. Compétences comportementales: Adaptabilité, Esprit critique, Communication. Langues: Allemand, Anglais. Localisation: Dakar, Sénégal. Mobilité: Pas mobile. Disponibilité: Dans 3 mois."
20,1,Diplôme d’ingénieur Logiciel,Google Data Engineer,"['NoSQL', 'Java', 'Spark', 'Django', 'Node.js']","['Adaptabilité', 'Gestion du temps', 'Créativité']","['Anglais', 'Français']","Dakar, Sénégal",Pas mobile,Immédiate,"Expériences: Data Scientist à BigDataCorp (2016-2019). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: Google Data Engineer. Compétences techniques: NoSQL, Java, Spark, Django, Node.js. Compétences comportementales: Adaptabilité, Gestion du temps, Créativité. Langues: Anglais, Français. Localisation: Dakar, Sénégal. Mobilité: Pas mobile. Disponibilité: Immédiate."
21,5,MBA Management Digital,Microsoft Azure Administrator,"['Django', 'Numpy', 'Node.js', 'Flask', 'AWS']","['Communication', 'Adaptabilité', 'Travail en équipe']","['Allemand', 'Anglais']","Casablanca, Maroc",Pas mobile,Dans 1 mois,"Expériences: Data Scientist à CloudOps (2017-2020). Diplômes: MBA Management Digital. Certifications: Microsoft Azure Administrator. Compétences techniques: Django, Numpy, Node.js, Flask, AWS. Compétences comportementales: Communication, Adaptabilité, Travail en équipe. Langues: Allemand, Anglais. Localisation: Casablanca, Maroc. Mobilité: Pas mobile. Disponibilité: Dans 1 mois."
22,8,Master Data Science,AWS Certified Solutions Architect,"['Python', 'AWS', 'Pandas', 'Django', 'Docker']","['Travail en équipe', 'Communication', 'Leadership']","['Espagnol', 'Français']","Casablanca, Maroc",Pas mobile,Dans 3 mois,"Expériences: Data Engineer chez BigDataCorp (2014-2018). Diplômes: Master Data Science. Certifications: AWS Certified Solutions Architect. Compétences techniques: Python, AWS, Pandas, Django, Docker. Compétences comportementales: Travail en équipe, Communication, Leadership. Langues: Espagnol, Français. Localisation: Casablanca, Maroc. Mobilité: Pas mobile. Disponibilité: Dans 3 mois."
23,4,MBA Management Digital,Scrum Master,"['GCP', 'Spark', 'AWS', 'Docker', 'Flask']","['Résolution de problèmes', 'Travail en équipe', 'Communication']","['Espagnol', 'Allemand']","Abidjan, Côte d’Ivoire",Mobile,Dans 3 mois,"Expériences: Développeur à HealthAI (2015-2023). Diplômes: MBA Management Digital. Certifications: Scrum Master. Compétences techniques: GCP, Spark, AWS, Docker, Flask. Compétences comportementales: Résolution de problèmes, Travail en équipe, Communication. Langues: Espagnol, Allemand. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Mobile. Disponibilité: Dans 3 mois."
24,6,Diplôme d’ingénieur Logiciel,Aucune,"['Kubernetes', 'JavaScript', 'NoSQL', 'React', 'Docker']","['Esprit critique', 'Travail en équipe', 'Résolution de problèmes']","['Espagnol', 'Français']","Montréal, Canada",Pas mobile,Dans 1 mois,"Expériences: Data Engineer à StartDev (2017-2021). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: Aucune. Compétences techniques: Kubernetes, JavaScript, NoSQL, React, Docker. Compétences comportementales: Esprit critique, Travail en équipe, Résolution de problèmes. Langues: Espagnol, Français. Localisation: Montréal, Canada. Mobilité: Pas mobile. Disponibilité: Dans 1 mois."
25,7,Diplôme d’ingénieur Logiciel,Aucune,"['JavaScript', 'Spring Boot', 'Python', 'Kubernetes', 'Node.js']","['Résolution de problèmes', 'Leadership', 'Créativité']","['Anglais', 'Allemand']","Montréal, Canada",Ouvert au télétravail,Immédiate,"Expériences: Développeur chez FinTechX (2015-2018). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: Aucune. Compétences techniques: JavaScript, Spring Boot, Python, Kubernetes, Node.js. Compétences comportementales: Résolution de problèmes, Leadership, Créativité. Langues: Anglais, Allemand. Localisation: Montréal, Canada. Mobilité: Ouvert au télétravail. Disponibilité: Immédiate."
26,7,Master Data Science,Google Data Engineer,"['GCP', 'Docker', 'Pandas', 'SQL', 'Python']","['Adaptabilité', 'Esprit critique', 'Résolution de problèmes']","['Espagnol', 'Français']","Paris, France",Mobile,Immédiate,"Expériences: Développeur à CloudOps (2018-2019). Diplômes: Master Data Science. Certifications: Google Data Engineer. Compétences techniques: GCP, Docker, Pandas, SQL, Python. Compétences comportementales: Adaptabilité, Esprit critique, Résolution de problèmes. Langues: Espagnol, Français. Localisation: Paris, France. Mobilité: Mobile. Disponibilité: Immédiate."
27,4,PhD en Intelligence Artificielle,Google Data Engineer,"['React', 'JavaScript', 'Scikit-learn', 'Azure', 'Spark']","['Esprit critique', 'Communication', 'Travail en équipe']","['Espagnol', 'Allemand']","Dakar, Sénégal",Ouvert au télétravail,Dans 1 mois,"Expériences: Data Scientist à FinTechX (2017-2019). Diplômes: PhD en Intelligence Artificielle. Certifications: Google Data Engineer. Compétences techniques: React, JavaScript, Scikit-learn, Azure, Spark. Compétences comportementales: Esprit critique, Communication, Travail en équipe. Langues: Espagnol, Allemand. Localisation: Dakar, Sénégal. Mobilité: Ouvert au télétravail. Disponibilité: Dans 1 mois."
28,3,MBA Management Digital,Aucune,"['AWS', 'Kubernetes', 'NoSQL', 'Docker', 'JavaScript']","['Gestion du temps', 'Résolution de problèmes', 'Leadership']","['Français', 'Espagnol']","Paris, France",Ouvert au télétravail,Dans 1 mois,"Expériences: Data Engineer à CloudOps (2014-2020). Diplômes: MBA Management Digital. Certifications: Aucune. Compétences techniques: AWS, Kubernetes, NoSQL, Docker, JavaScript. Compétences comportementales: Gestion du temps, Résolution de problèmes, Leadership. Langues: Français, Espagnol. Localisation: Paris, France. Mobilité: Ouvert au télétravail. Disponibilité: Dans 1 mois."
29,8,Licence Informatique,Aucune,"['NoSQL', 'Vue.js', 'Node.js', 'PyTorch', 'Spring Boot']","['Leadership', 'Travail en équipe', 'Résolution de problèmes']","['Espagnol', 'Allemand']","Abidjan, Côte d’Ivoire",Ouvert au télétravail,Dans 1 mois,"Expériences: Ingénieur Logiciel à StartDev (2014-2021). Diplômes: Licence Informatique. Certifications: Aucune. Compétences techniques: NoSQL, Vue.js, Node.js, PyTorch, Spring Boot. Compétences comportementales: Leadership, Travail en équipe, Résolution de problèmes. Langues: Espagnol, Allemand. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Ouvert au télétravail. Disponibilité: Dans 1 mois."
30,5,Master Data Science,Microsoft Azure Administrator,"['Spring Boot', 'Node.js', 'Python', 'Kubernetes', 'JavaScript']","['Gestion du temps', 'Créativité', 'Communication']","['Espagnol', 'Anglais']","Paris, France",Mobile,Dans 1 mois,"Expériences: Ingénieur Logiciel à BigDataCorp (2015-2019). Diplômes: Master Data Science. Certifications: Microsoft Azure Administrator. Compétences techniques: Spring Boot, Node.js, Python, Kubernetes, JavaScript. Compétences comportementales: Gestion du temps, Créativité, Communication. Langues: Espagnol, Anglais. Localisation: Paris, France. Mobilité: Mobile. Disponibilité: Dans 1 mois."
31,4,Diplôme d’ingénieur Logiciel,Microsoft Azure Administrator,"['Node.js', 'NoSQL', 'GCP', 'Kubernetes', 'Numpy']","['Adaptabilité', 'Travail en équipe', 'Esprit critique']","['Anglais', 'Allemand']","Dakar, Sénégal",Mobile,Dans 1 mois,"Expériences: Ingénieur Logiciel à HealthAI (2014-2022). Diplômes: Diplôme d’ingénieur Logiciel. Certifications: Microsoft Azure Administrator. Compétences techniques: Node.js, NoSQL, GCP, Kubernetes, Numpy. Compétences comportementales: Adaptabilité, Travail en équipe, Esprit critique. Langues: Anglais, Allemand. Localisation: Dakar, Sénégal. Mobilité: Mobile. Disponibilité: Dans 1 mois."
32,7,Licence Informatique,Microsoft Azure Administrator,"['Python', 'PyTorch', 'Pandas', 'SQL', 'Docker']","['Communication', 'Adaptabilité', 'Travail en équipe']","['Espagnol', 'Allemand']","Paris, France",Pas mobile,Immédiate,"Expériences: Data Scientist chez FinTechX (2015-2023). Diplômes: Licence Informatique. Certifications: Microsoft Azure Administrator. Compétences techniques: Python, PyTorch, Pandas, SQL, Docker. Compétences comportementales: Communication, Adaptabilité, Travail en équipe. Langues: Espagnol, Allemand. Localisation: Paris, France. Mobilité: Pas mobile. Disponibilité: Immédiate."
33,6,PhD en Intelligence Artificielle,AWS Certified Solutions Architect,"['Numpy', 'Azure', 'PyTorch', 'Flask', 'React']","['Gestion du temps', 'Communication', 'Travail en équipe']","['Espagnol', 'Allemand']","Montréal, Canada",Mobile,Dans 3 mois,"Expériences: Data Scientist chez StartDev (2019-2021). Diplômes: PhD en Intelligence Artificielle. Certifications: AWS Certified Solutions Architect. Compétences techniques: Numpy, Azure, PyTorch, Flask, React. Compétences comportementales: Gestion du temps, Communication, Travail en équipe. Langues: Espagnol, Allemand. Localisation: Montréal, Canada. Mobilité: Mobile. Disponibilité: Dans 3 mois."
34,8,Licence Informatique,AWS Certified Solutions Architect,"['Kubernetes', 'Vue.js', 'Python', 'Django', 'Flask']","['Travail en équipe', 'Communication', 'Adaptabilité']","['Français', 'Allemand']","Dakar, Sénégal",Ouvert au télétravail,Dans 3 mois,"Expériences: Ingénieur Logiciel chez CloudOps (2014-2020). Diplômes: Licence Informatique. Certifications: AWS Certified Solutions Architect. Compétences techniques: Kubernetes, Vue.js, Python, Django, Flask. Compétences comportementales: Travail en équipe, Communication, Adaptabilité. Langues: Français, Allemand. Localisation: Dakar, Sénégal. Mobilité: Ouvert au télétravail. Disponibilité: Dans 3 mois."
35,4,Master Data Science,Microsoft Azure Administrator,"['Java', 'JavaScript', 'Node.js', 'PyTorch', 'React']","['Esprit critique', 'Résolution de problèmes', 'Travail en équipe']","['Allemand', 'Espagnol']","Casablanca, Maroc",Ouvert au télétravail,Dans 1 mois,"Expériences: Développeur chez HealthAI (2015-2018). Diplômes: Master Data Science. Certifications: Microsoft Azure Administrator. Compétences techniques: Java, JavaScript, Node.js, PyTorch, React. Compétences comportementales: Esprit critique, Résolution de problèmes, Travail en équipe. Langues: Allemand, Espagnol. Localisation: Casablanca, Maroc. Mobilité: Ouvert au télétravail. Disponibilité: Dans 1 mois."
36,10,Master Data Science,Microsoft Azure Administrator,"['SQL', 'TensorFlow', 'Scikit-learn', 'React', 'Hadoop']","['Travail en équipe', 'Adaptabilité', 'Créativité']","['Allemand', 'Anglais']","Casablanca, Maroc",Mobile,Dans 3 mois,"Expériences: Data Engineer chez StartDev (2018-2021). Diplômes: Master Data Science. Certifications: Microsoft Azure Administrator. Compétences techniques: SQL, TensorFlow, Scikit-learn, React, Hadoop. Compétences comportementales: Travail en équipe, Adaptabilité, Créativité. Langues: Allemand, Anglais. Localisation: Casablanca, Maroc. Mobilité: Mobile. Disponibilité: Dans 3 mois."
37,1,MBA Management Digital,AWS Certified Solutions Architect,"['Docker', 'Spring Boot', 'Python', 'Spark', 'AWS']","['Créativité', 'Esprit critique', 'Leadership']","['Espagnol', 'Allemand']","Montréal, Canada",Pas mobile,Immédiate,"Expériences: Data Scientist chez StartDev (2019-2023). Diplômes: MBA Management Digital. Certifications: AWS Certified Solutions Architect. Compétences techniques: Docker, Spring Boot, Python, Spark, AWS. Compétences comportementales: Créativité, Esprit critique, Leadership. Langues: Espagnol, Allemand. Localisation: Montréal, Canada. Mobilité: Pas mobile. Disponibilité: Immédiate."
38,3,Licence Informatique,Microsoft Azure Administrator,"['Flask', 'SQL', 'Vue.js', 'Docker', 'Kubernetes']","['Résolution de problèmes', 'Créativité', 'Adaptabilité']","['Espagnol', 'Allemand']","Abidjan, Côte d’Ivoire",Mobile,Dans 1 mois,"Expériences: Data Engineer chez CloudOps (2014-2023). Diplômes: Licence Informatique. Certifications: Microsoft Azure Administrator. Compétences techniques: Flask, SQL, Vue.js, Docker, Kubernetes. Compétences comportementales: Résolution de problèmes, Créativité, Adaptabilité. Langues: Espagnol, Allemand. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Mobile. Disponibilité: Dans 1 mois."
39,6,MBA Management Digital,Scrum Master,"['SQL', 'Node.js', 'React', 'GCP', 'NoSQL']","['Leadership', 'Communication', 'Esprit critique']","['Espagnol', 'Français']","Dakar, Sénégal",Pas mobile,Dans 1 mois,"Expériences: Développeur chez FinTechX (2017-2019). Diplômes: MBA Management Digital. Certifications: Scrum Master. Compétences techniques: SQL, Node.js, React, GCP, NoSQL. Compétences comportementales: Leadership, Communication, Esprit critique. Langues: Espagnol, Français. Localisation: Dakar, Sénégal. Mobilité: Pas mobile. Disponibilité: Dans 1 mois."
40,6,Master Data Science,Scrum Master,"['Scikit-learn', 'Vue.js', 'Azure', 'Spring Boot', 'Numpy']","['Créativité', 'Adaptabilité', 'Résolution de problèmes']","['Anglais', 'Allemand']","Abidjan, Côte d’Ivoire",Mobile,Immédiate,"Expériences: Développeur chez CloudOps (2015-2020). Diplômes: Master Data Science. Certifications: Scrum Master. Compétences techniques: Scikit-learn, Vue.js, Azure, Spring Boot, Numpy. Compétences comportementales: Créativité, Adaptabilité, Résolution de problèmes. Langues: Anglais, Allemand. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Mobile. Disponibilité: Immédiate."
41,5,PhD en Intelligence Artificielle,Microsoft Azure Administrator,"['NoSQL', 'Docker', 'React', 'Django', 'Python']","['Adaptabilité', 'Travail en équipe', 'Gestion du temps']","['Français', 'Anglais']","Abidjan, Côte d’Ivoire",Mobile,Immédiate,"Expériences: Data Engineer à StartDev (2018-2018). Diplômes: PhD en Intelligence Artificielle. Certifications: Microsoft Azure Administrator. Compétences techniques: NoSQL, Docker, React, Django, Python. Compétences comportementales: Adaptabilité, Travail en équipe, Gestion du temps. Langues: Français, Anglais. Localisation: Abidjan, Côte d’Ivoire. Mobilité: Mobile. Disponibilité: Immédiate."
42,6,Licence Informatique,AWS Certified Solutions Architect,"['Scikit-learn', 'Java', 'Numpy', 'React', 'Kubernetes']","['Leadership', 'Créativité', 'Esprit critique']","['Allemand', 'Espagnol']","Montréal, Canada",Pas mobile,Dans 3 mois,"Expériences: Ingénieur Logiciel à FinTechX (2016-2022). Diplômes: Licence Informatique. Certifications: AWS Certified Solutions Architect. Compétences techniques: Scikit-learn, Java, Numpy, React, Kubernetes. Compétences comportementales: Leadership, Créativité, Esprit critique. Langues: Allemand, Espagnol. Localisation: Montréal, Canada. Mobilité: Pas mobile. Disponibilité: Dans 3 mois."
43,9,PhD en Intelligence Artificielle,Aucune,"['Azure', 'PyTorch', 'Docker', 'Spring Boot', 'GCP']","['Adaptabilité', 'Créativité', 'Gestion du temps']","['Français', 'Allemand']","Paris, France",Mobile,Dans 3 mois,"Expériences: Développeur à BigDataCorp (2018-2018). Diplômes: PhD en Intelligence Artificielle. Certifications: Aucune. Compétences techniques: Azure, PyTorch, Docker, Spring Boot, GCP. Compétences comportementales: Adaptabilité, Créativité, Gestion du temps. Langues: Français, Allemand. Localisation: Paris, France. Mobilité: Mobile. Disponibilité: Dans 3 mois."
44,8,PhD en Intelligence Artificielle,Google Data Engineer,"['Docker', 'SQL', 'Vue.js', 'Scikit-learn', 'Flask']","['Créativité', 'Esprit critique', 'Leadership']","['Espagnol', 'Allemand']","Dakar, Sénégal",Pas mobile,Dans 1 mois,"Expériences: Ingénieur Logiciel à FinTechX (2016-2020). Diplômes: PhD en Intelligence Artificielle. Certifications: Google Data Engineer. Compétences techniques: Docker, SQL, Vue.js, Scikit-learn, Flask. Compétences comportementales: Créativité, Esprit critique, Leadership. Langues: Espagnol, Allemand. Localisation: Dakar, Sénégal. Mobilité: Pas mobile. Disponibilité: Dans 1 mois."
